BERTopic,HEAVY_EMBfinal_K30,30,147.01,2.45
BERTopic,LIGHT_EMBfinal_K40,40,187.09,3.12
BERTopic,HEAVY_EMBfinal_K40,40,146.14,2.44
BERTopic,LIGHT_EMBfinal_K50,50,187.6,3.13
BERTopic,HEAVY_EMBfinal_K50,50,146.61,2.44
BERTopic,LIGHT_EMBfinal_K60,60,190.36,3.17
BERTopic,HEAVY_EMBfinal_K60,60,145.93,2.43
BERTopic,LIGHT_EMBfinal_fullK10,10,191.9,3.2
BERTopic,HEAVY_EMBfinal_fullK10,10,142.75,2.38
BERTopic,LIGHT_EMBfinal_fullK20,20,179.68,2.99
BERTopic,HEAVY_EMBfinal_fullK20,20,146.88,2.45
BERTopic,LIGHT_EMBfinal_fullK30,30,190.18,3.17
BERTopic,HEAVY_EMBfinal_fullK30,30,144.78,2.41
BERTopic,LIGHT_EMBfinal_fullK40,40,178.71,2.98
BERTopic,HEAVY_EMBfinal_fullK40,40,146.99,2.45
BERTopic,LIGHT_EMBfinal_fullK50,50,176.42,2.94
BERTopic,HEAVY_EMBfinal_fullK50,50,141.15,2.35
BERTopic,LIGHT_EMBfinal_fullK60,60,181.25,3.02
BERTopic,HEAVY_EMBfinal_fullK60,60,140.39,2.34
BERTopic,LIGHT_EMBfinal_fullK10,10,185.89,3.1
BERTopic,HEAVY_EMBfinal_fullK10,10,140.51,2.34
BERTopic,LIGHT_EMBfinal_fullK20,20,171.53,2.86
BERTopic,HEAVY_EMBfinal_fullK20,20,139.98,2.33
BERTopic,LIGHT_EMBfinal_fullK30,30,176.37,2.94
BERTopic,HEAVY_EMBfinal_fullK30,30,142.77,2.38
BERTopic,LIGHT_EMBfinal_fullK40,40,171.67,2.86
BERTopic,HEAVY_EMBfinal_fullK40,40,139.73,2.33
BERTopic,LIGHT_EMBfinal_fullK50,50,169.43,2.82
BERTopic,HEAVY_EMBfinal_fullK50,50,139.27,2.32
BERTopic,LIGHT_EMBfinal_fullK60,60,176.46,2.94
BERTopic,HEAVY_EMBfinal_fullK60,60,140.38,2.34
BERTopic,LIGHT_EMBfinal_fullK10,10,187.74,3.13
BERTopic,HEAVY_EMBfinal_fullK10,10,145.61,2.43
BERTopic,LIGHT_EMBfinal_fullK20,20,180.9,3.01
BERTopic,HEAVY_EMBfinal_fullK20,20,142.21,2.37
BERTopic,LIGHT_EMBfinal_fullK30,30,187.49,3.12
BERTopic,HEAVY_EMBfinal_fullK30,30,141.95,2.37
BERTopic,LIGHT_EMBfinal_fullK40,40,181.42,3.02
BERTopic,HEAVY_EMBfinal_fullK40,40,140.84,2.35
BERTopic,LIGHT_EMBfinal_fullK50,50,177.75,2.96
BERTopic,HEAVY_EMBfinal_fullK50,50,140.76,2.35
BERTopic,LIGHT_EMBfinal_fullK60,60,177.21,2.95
BERTopic,HEAVY_EMBfinal_fullK60,60,142.24,2.37
BERTopic,LIGHT_EMBfinal_fullK10,10,190.37,3.17
BERTopic,HEAVY_EMBfinal_fullK10,10,144.87,2.41
BERTopic,LIGHT_EMBfinal_fullK20,20,181.78,3.03
BERTopic,HEAVY_EMBfinal_fullK20,20,143.88,2.4
BERTopic,LIGHT_EMBfinal_fullK30,30,179.19,2.99
BERTopic,HEAVY_EMBfinal_fullK30,30,144.36,2.41
BERTopic,LIGHT_EMBfinal_fullK40,40,181.57,3.03
BERTopic,HEAVY_EMBfinal_fullK40,40,143.64,2.39
BERTopic,LIGHT_EMBfinal_fullK50,50,180.73,3.01
BERTopic,HEAVY_EMBfinal_fullK50,50,146.29,2.44
BERTopic,LIGHT_EMBfinal_fullK60,60,182.94,3.05
BERTopic,HEAVY_EMBfinal_fullK60,60,144.41,2.41
BERTopic,LIGHT_EMBfinal_noiseparams_fullK10,10,190.19,3.17
BERTopic,HEAVY_EMBfinal_noiseparams_fullK10,10,145.49,2.42
BERTopic,LIGHT_EMBfinal_noiseparams_fullK20,20,185.08,3.08
BERTopic,HEAVY_EMBfinal_noiseparams_fullK20,20,145.87,2.43
BERTopic,LIGHT_EMBfinal_noiseparams_fullK30,30,182.02,3.03
BERTopic,HEAVY_EMBfinal_noiseparams_fullK30,30,145.57,2.43
