Model,Variant,Embedding,Vocab,K,Runs,Metric_Runs,Runtime_Runs,NPMI_mean,NPMI_std,Diversity_mean,Diversity_std,Valid_Topics_mean,Valid_Topics_std,Dropped_Topics_mean,Dropped_Topics_std,Runtime_Seconds_mean,Runtime_Seconds_std,Runtime_Minutes_mean,Runtime_Minutes_std
BERTopic,Reassignment fullK,Light,,60,3,3,3,0.1409,0.0056,0.7504,0.0229,58.6667,0.5774,0.3333,0.5774,211.9533,1.0697,3.5333,0.0153
CTM,Base,Heavy,,10,3,3,3,0.1108,0.013,0.99,0.0,10.0,0.0,0.0,0.0,1513.32,88.2276,25.2233,1.4702
CTM,Base,Heavy,,20,3,3,3,0.1383,0.0067,0.97,0.005,20.0,0.0,0.0,0.0,1497.34,63.5316,24.9567,1.0577
CTM,Base,Heavy,,30,3,3,3,0.129,0.0022,0.9311,0.0019,30.0,0.0,0.0,0.0,1470.0767,47.5392,24.5,0.7938
CTM,Base,Heavy,,40,3,3,3,0.1271,0.0052,0.9108,0.0142,40.0,0.0,0.0,0.0,1488.3867,47.4222,24.8067,0.7893
CTM,Base,Heavy,,50,3,3,3,0.1183,0.002,0.8907,0.0064,50.0,0.0,0.0,0.0,1502.7033,27.0612,25.0433,0.4509
CTM,Base,Heavy,,60,3,3,3,0.1145,0.0049,0.8622,0.0048,60.0,0.0,0.0,0.0,1489.5967,42.3225,24.8267,0.706
CTM,Base,Light,,10,3,3,3,0.1092,0.0088,0.9933,0.0058,10.0,0.0,0.0,0.0,1533.5567,47.1123,25.56,0.7871
CTM,Base,Light,,20,3,3,3,0.1392,0.0077,0.96,0.005,20.0,0.0,0.0,0.0,1480.1033,42.452,24.6667,0.7074
CTM,Base,Light,,30,3,3,3,0.1338,0.0055,0.9322,0.0107,30.0,0.0,0.0,0.0,1513.76,72.8073,25.2267,1.214
CTM,Base,Light,,40,3,3,3,0.1259,0.0086,0.9017,0.0118,40.0,0.0,0.0,0.0,1464.1967,45.6567,24.4,0.7607
CTM,Base,Light,,50,3,3,3,0.1138,0.0068,0.892,0.0243,50.0,0.0,0.0,0.0,1528.93,32.3146,25.4833,0.5389
CTM,Base,Light,,60,3,3,3,0.1129,0.005,0.8644,0.0135,60.0,0.0,0.0,0.0,1483.74,47.0025,24.7267,0.7825
ETM,Base,Heavy,Vocab2000,10,3,3,3,0.0804,0.007,0.9,0.0173,10.0,0.0,0.0,0.0,430.0633,26.2112,7.1667,0.4392
ETM,Base,Heavy,Vocab2000,20,3,3,3,0.0829,0.0081,0.685,0.04,20.0,0.0,0.0,0.0,432.9167,24.9438,7.2133,0.4168
ETM,Base,Heavy,Vocab2000,30,3,3,3,0.071,0.0027,0.5333,0.0133,30.0,0.0,0.0,0.0,438.0833,17.1321,7.3,0.2858
ETM,Base,Heavy,Vocab2000,40,3,3,3,0.0691,0.0105,0.4408,0.0413,40.0,0.0,0.0,0.0,430.5233,2.3983,7.1767,0.0416
ETM,Base,Heavy,Vocab2000,50,3,3,3,0.0667,0.0018,0.3673,0.0266,50.0,0.0,0.0,0.0,429.7767,4.5489,7.1633,0.0764
ETM,Base,Heavy,Vocab2000,60,3,3,3,0.0638,0.0038,0.3122,0.0106,60.0,0.0,0.0,0.0,424.1467,3.2524,7.07,0.0529
ETM,Base,Heavy,Vocab6000,10,3,3,3,0.0632,0.0014,0.8533,0.0058,10.0,0.0,0.0,0.0,619.9933,106.6708,10.3333,1.7792
ETM,Base,Heavy,Vocab6000,20,3,3,3,0.0725,0.0036,0.7217,0.0351,20.0,0.0,0.0,0.0,571.08,19.002,9.5167,0.3147
ETM,Base,Heavy,Vocab6000,30,3,3,3,0.0579,0.0053,0.5456,0.032,30.0,0.0,0.0,0.0,556.6667,32.2585,9.2767,0.5372
ETM,Base,Heavy,Vocab6000,40,3,3,3,0.0542,0.0069,0.4517,0.0298,40.0,0.0,0.0,0.0,544.2833,33.1664,9.07,0.5549
ETM,Base,Heavy,Vocab6000,50,3,3,3,0.0609,0.0036,0.4267,0.0042,50.0,0.0,0.0,0.0,616.2633,120.6856,10.27,2.0093
ETM,Base,Heavy,Vocab6000,60,3,3,3,0.0542,0.0036,0.3589,0.0195,60.0,0.0,0.0,0.0,615.1267,117.1285,10.2533,1.9554
LDA,Base,Heavy,Vocab2000,10,3,3,3,0.0829,0.0,0.88,0.0,10.0,0.0,0.0,0.0,234.1267,3.1508,3.9,0.0529
LDA,Base,Heavy,Vocab2000,20,3,3,3,0.1075,0.0,0.9,0.0,20.0,0.0,0.0,0.0,234.36,3.9671,3.9067,0.0681
LDA,Base,Heavy,Vocab2000,30,3,3,3,0.1351,0.0,0.8867,0.0,30.0,0.0,0.0,0.0,242.41,0.8433,4.0433,0.0153
LDA,Base,Heavy,Vocab2000,40,3,3,3,0.1173,0.0,0.875,0.0,40.0,0.0,0.0,0.0,447.98,2.7448,7.4667,0.0416
LDA,Base,Heavy,Vocab2000,50,3,3,3,0.1273,0.0,0.896,0.0,50.0,0.0,0.0,0.0,299.5467,6.05,4.99,0.0985
LDA,Base,Heavy,Vocab2000,60,3,3,3,0.1108,0.0,0.9133,0.0,60.0,0.0,0.0,0.0,297.22,4.7071,4.9533,0.0777
