Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics,Runtime_Seconds,Runtime_Minutes,Runtime_Log_Entries,Timing_Run_Names
BERTopic,Base fullK,Heavy,,50,Run2,BERTopic | Base fullK | Heavy | K50 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK50.json,HEAVY_EMBfinal2_K50,0.1143988815553763,0.8729166666666667,48,1,140.43,2.34,1,HEAVY_EMBfinal2_fullK50
BERTopic,Base fullK,Light,,60,Run2,BERTopic | Base fullK | Light | K60 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK60.json,LIGHT_EMBfinal2_K60,0.1398509835785006,0.8051724137931034,58,1,183.41,3.06,1,LIGHT_EMBfinal2_fullK60
BERTopic,Base fullK,Heavy,,60,Run2,BERTopic | Base fullK | Heavy | K60 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK60.json,HEAVY_EMBfinal2_K60,0.1688973807443027,0.8413793103448276,58,1,142.09,2.37,1,HEAVY_EMBfinal2_fullK60
BERTopic,Base fullK,Light,,10,Run3,BERTopic | Base fullK | Light | K10 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK10.json,LIGHT_EMBfinal3_K10,0.1676184125854951,0.9777777777777776,9,0,178.51,2.98,1,LIGHT_EMBfinal3_fullK10
BERTopic,Base fullK,Heavy,,10,Run3,BERTopic | Base fullK | Heavy | K10 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK10.json,HEAVY_EMBfinal3_K10,0.1837589891436118,0.9777777777777776,9,1,141.34,2.36,1,HEAVY_EMBfinal3_fullK10
BERTopic,Base fullK,Light,,20,Run3,BERTopic | Base fullK | Light | K20 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK20.json,LIGHT_EMBfinal3_K20,0.1261260372964054,0.925,20,0,170.46,2.84,1,LIGHT_EMBfinal3_fullK20
BERTopic,Base fullK,Heavy,,20,Run3,BERTopic | Base fullK | Heavy | K20 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK20.json,HEAVY_EMBfinal3_K20,0.1599988413335651,0.9210526315789472,19,1,136.81,2.28,1,HEAVY_EMBfinal3_fullK20
BERTopic,Base fullK,Light,,30,Run3,BERTopic | Base fullK | Light | K30 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK30.json,LIGHT_EMBfinal3_K30,0.1287864364323267,0.8533333333333334,30,0,181.26,3.02,1,LIGHT_EMBfinal3_fullK30
BERTopic,Base fullK,Heavy,,30,Run3,BERTopic | Base fullK | Heavy | K30 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK30.json,HEAVY_EMBfinal3_K30,0.1925168780160427,0.8928571428571429,28,1,140.05,2.33,1,HEAVY_EMBfinal3_fullK30
BERTopic,Base fullK,Light,,40,Run3,BERTopic | Base fullK | Light | K40 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK40.json,LIGHT_EMBfinal3_K40,0.1315971135043162,0.8641025641025641,39,0,167.99,2.8,1,LIGHT_EMBfinal3_fullK40
