Experiment,Model,Variant,Embedding,K,Repeat,Source_File,Total_Docs,Noise_Docs,Noise_Percent,Final_Topics_Found
LIGHT_EMBfinal3_fullK50,BERTopic,Base,Light,50,Run3,bertopic_assignments_LIGHT_EMBfinal3_fullK50.csv,150000,73381,48.92066666666667,50
LIGHT_EMBfinal_fullK60,BERTopic,Base,Light,60,Run1,bertopic_assignments_LIGHT_EMBfinal_fullK60.csv,150000,75541,50.36066666666667,60
LIGHT_EMBfinal2_fullK60,BERTopic,Base,Light,60,Run2,bertopic_assignments_LIGHT_EMBfinal2_fullK60.csv,150000,73454,48.96933333333333,60
LIGHT_EMBfinal3_fullK60,BERTopic,Base,Light,60,Run3,bertopic_assignments_LIGHT_EMBfinal3_fullK60.csv,150000,67761,45.174,60
HEAVY_EMBfinal_noiseparams_fullK10,BERTopic,NoiseParams,Heavy,10,Run1,bertopic_assignments_HEAVY_EMBfinal_noiseparams_fullK10.csv,150000,58782,39.188,10
HEAVY_EMBfinal2_noiseparams_fullK10,BERTopic,NoiseParams,Heavy,10,Run2,bertopic_assignments_HEAVY_EMBfinal2_noiseparams_fullK10.csv,150000,56744,37.82933333333333,10
HEAVY_EMBfinal3_noiseparams_fullK10,BERTopic,NoiseParams,Heavy,10,Run3,bertopic_assignments_HEAVY_EMBfinal3_noiseparams_fullK10.csv,150000,58841,39.227333333333334,10
HEAVY_EMBfinal_noiseparams_fullK20,BERTopic,NoiseParams,Heavy,20,Run1,bertopic_assignments_HEAVY_EMBfinal_noiseparams_fullK20.csv,150000,56741,37.827333333333335,20
HEAVY_EMBfinal2_noiseparams_fullK20,BERTopic,NoiseParams,Heavy,20,Run2,bertopic_assignments_HEAVY_EMBfinal2_noiseparams_fullK20.csv,150000,58311,38.873999999999995,20
HEAVY_EMBfinal3_noiseparams_fullK20,BERTopic,NoiseParams,Heavy,20,Run3,bertopic_assignments_HEAVY_EMBfinal3_noiseparams_fullK20.csv,150000,58883,39.25533333333333,20
HEAVY_EMBfinal_noiseparams_fullK30,BERTopic,NoiseParams,Heavy,30,Run1,bertopic_assignments_HEAVY_EMBfinal_noiseparams_fullK30.csv,150000,58117,38.74466666666667,30
HEAVY_EMBfinal2_noiseparams_fullK30,BERTopic,NoiseParams,Heavy,30,Run2,bertopic_assignments_HEAVY_EMBfinal2_noiseparams_fullK30.csv,150000,56198,37.465333333333334,30
HEAVY_EMBfinal3_noiseparams_fullK30,BERTopic,NoiseParams,Heavy,30,Run3,bertopic_assignments_HEAVY_EMBfinal3_noiseparams_fullK30.csv,150000,58490,38.99333333333333,30
HEAVY_EMBfinal_noiseparams_fullK40,BERTopic,NoiseParams,Heavy,40,Run1,bertopic_assignments_HEAVY_EMBfinal_noiseparams_fullK40.csv,150000,58192,38.794666666666664,40
HEAVY_EMBfinal2_noiseparams_fullK40,BERTopic,NoiseParams,Heavy,40,Run2,bertopic_assignments_HEAVY_EMBfinal2_noiseparams_fullK40.csv,150000,58780,39.18666666666667,40
HEAVY_EMBfinal3_noiseparams_fullK40,BERTopic,NoiseParams,Heavy,40,Run3,bertopic_assignments_HEAVY_EMBfinal3_noiseparams_fullK40.csv,150000,58789,39.19266666666667,40
HEAVY_EMBfinal_noiseparams_fullK50,BERTopic,NoiseParams,Heavy,50,Run1,bertopic_assignments_HEAVY_EMBfinal_noiseparams_fullK50.csv,150000,57340,38.22666666666667,50
HEAVY_EMBfinal2_noiseparams_fullK50,BERTopic,NoiseParams,Heavy,50,Run2,bertopic_assignments_HEAVY_EMBfinal2_noiseparams_fullK50.csv,150000,59330,39.553333333333335,50
HEAVY_EMBfinal3_noiseparams_fullK50,BERTopic,NoiseParams,Heavy,50,Run3,bertopic_assignments_HEAVY_EMBfinal3_noiseparams_fullK50.csv,150000,58401,38.934000000000005,50
HEAVY_EMBfinal_noiseparams_fullK60,BERTopic,NoiseParams,Heavy,60,Run1,bertopic_assignments_HEAVY_EMBfinal_noiseparams_fullK60.csv,150000,58255,38.836666666666666,60
HEAVY_EMBfinal2_noiseparams_fullK60,BERTopic,NoiseParams,Heavy,60,Run2,bertopic_assignments_HEAVY_EMBfinal2_noiseparams_fullK60.csv,150000,58658,39.105333333333334,60
HEAVY_EMBfinal3_noiseparams_fullK60,BERTopic,NoiseParams,Heavy,60,Run3,bertopic_assignments_HEAVY_EMBfinal3_noiseparams_fullK60.csv,150000,57905,38.60333333333333,60
LIGHT_EMBfinal_noiseparams_fullK10,BERTopic,NoiseParams,Light,10,Run1,bertopic_assignments_LIGHT_EMBfinal_noiseparams_fullK10.csv,150000,56227,37.48466666666667,10
LIGHT_EMBfinal2_noiseparams_fullK10,BERTopic,NoiseParams,Light,10,Run2,bertopic_assignments_LIGHT_EMBfinal2_noiseparams_fullK10.csv,150000,55910,37.27333333333333,10
LIGHT_EMBfinal3_noiseparams_fullK10,BERTopic,NoiseParams,Light,10,Run3,bertopic_assignments_LIGHT_EMBfinal3_noiseparams_fullK10.csv,150000,54931,36.620666666666665,10
LIGHT_EMBfinal_noiseparams_fullK20,BERTopic,NoiseParams,Light,20,Run1,bertopic_assignments_LIGHT_EMBfinal_noiseparams_fullK20.csv,150000,54692,36.461333333333336,20
LIGHT_EMBfinal2_noiseparams_fullK20,BERTopic,NoiseParams,Light,20,Run2,bertopic_assignments_LIGHT_EMBfinal2_noiseparams_fullK20.csv,150000,56878,37.91866666666667,20
LIGHT_EMBfinal3_noiseparams_fullK20,BERTopic,NoiseParams,Light,20,Run3,bertopic_assignments_LIGHT_EMBfinal3_noiseparams_fullK20.csv,150000,54230,36.15333333333333,20
LIGHT_EMBfinal_noiseparams_fullK30,BERTopic,NoiseParams,Light,30,Run1,bertopic_assignments_LIGHT_EMBfinal_noiseparams_fullK30.csv,150000,55943,37.29533333333334,30
LIGHT_EMBfinal2_noiseparams_fullK30,BERTopic,NoiseParams,Light,30,Run2,bertopic_assignments_LIGHT_EMBfinal2_noiseparams_fullK30.csv,150000,55642,37.09466666666666,30
LIGHT_EMBfinal3_noiseparams_fullK30,BERTopic,NoiseParams,Light,30,Run3,bertopic_assignments_LIGHT_EMBfinal3_noiseparams_fullK30.csv,150000,55252,36.834666666666664,30
LIGHT_EMBfinal_noiseparams_fullK40,BERTopic,NoiseParams,Light,40,Run1,bertopic_assignments_LIGHT_EMBfinal_noiseparams_fullK40.csv,150000,52353,34.902,40
LIGHT_EMBfinal2_noiseparams_fullK40,BERTopic,NoiseParams,Light,40,Run2,bertopic_assignments_LIGHT_EMBfinal2_noiseparams_fullK40.csv,150000,53712,35.808,40
LIGHT_EMBfinal3_noiseparams_fullK40,BERTopic,NoiseParams,Light,40,Run3,bertopic_assignments_LIGHT_EMBfinal3_noiseparams_fullK40.csv,150000,53779,35.852666666666664,40
LIGHT_EMBfinal_noiseparams_fullK50,BERTopic,NoiseParams,Light,50,Run1,bertopic_assignments_LIGHT_EMBfinal_noiseparams_fullK50.csv,150000,55280,36.85333333333333,50
LIGHT_EMBfinal2_noiseparams_fullK50,BERTopic,NoiseParams,Light,50,Run2,bertopic_assignments_LIGHT_EMBfinal2_noiseparams_fullK50.csv,150000,55529,37.01933333333333,50
LIGHT_EMBfinal3_noiseparams_fullK50,BERTopic,NoiseParams,Light,50,Run3,bertopic_assignments_LIGHT_EMBfinal3_noiseparams_fullK50.csv,150000,58370,38.913333333333334,50
LIGHT_EMBfinal_noiseparams_fullK60,BERTopic,NoiseParams,Light,60,Run1,bertopic_assignments_LIGHT_EMBfinal_noiseparams_fullK60.csv,150000,52776,35.184,60
LIGHT_EMBfinal2_noiseparams_fullK60,BERTopic,NoiseParams,Light,60,Run2,bertopic_assignments_LIGHT_EMBfinal2_noiseparams_fullK60.csv,150000,58016,38.67733333333334,60
LIGHT_EMBfinal3_noiseparams_fullK60,BERTopic,NoiseParams,Light,60,Run3,bertopic_assignments_LIGHT_EMBfinal3_noiseparams_fullK60.csv,150000,53309,35.53933333333333,60
