model,run_name,K,time_seconds,time_minutes
ETM,HEAVY_final2_VOCAB2000_K40,40,432.56,7.21
ETM,HEAVY_final3_VOCAB2000_K40,40,427.88,7.13
ETM,HEAVY_final2_VOCAB6000_K40,40,517.27,8.62
ETM,HEAVY_final3_VOCAB6000_K40,40,534.28,8.9
ETM,HEAVY_final2_VOCAB2000_K50,50,433.72,7.23
ETM,HEAVY_final3_VOCAB2000_K50,50,430.81,7.18
ETM,HEAVY_final2_VOCAB6000_K50,50,545.21,9.09
ETM,HEAVY_final3_VOCAB6000_K50,50,547.97,9.13
ETM,HEAVY_final2_VOCAB2000_K60,60,425.37,7.09
ETM,HEAVY_final3_VOCAB2000_K60,60,426.61,7.11
ETM,HEAVY_final2_VOCAB6000_K60,60,551.44,9.19
ETM,HEAVY_final3_VOCAB6000_K60,60,543.64,9.06
LDA,HEAVY_final2_VOCAB2000_K10,10,236.4,3.94
LDA,HEAVY_final3_VOCAB2000_K10,10,235.45,3.92
LDA,HEAVY_final2_VOCAB2000_K20,20,235.92,3.93
LDA,HEAVY_final3_VOCAB2000_K20,20,237.31,3.96
LDA,HEAVY_final2_VOCAB2000_K30,30,242.12,4.04
LDA,HEAVY_final3_VOCAB2000_K30,30,241.75,4.03
LDA,HEAVY_final2_VOCAB2000_K40,40,448.69,7.48
LDA,HEAVY_final3_VOCAB2000_K40,40,450.3,7.5
LDA,HEAVY_final2_VOCAB2000_K50,50,301.35,5.02
LDA,HEAVY_final3_VOCAB2000_K50,50,304.49,5.07
LDA,HEAVY_final2_VOCAB2000_K60,60,302.53,5.04
LDA,HEAVY_final3_VOCAB2000_K60,60,295.57,4.93
CTM,LIGHT_EMBfinal2_K10,10,1587.38,26.46
CTM,HEAVY_EMBfinal2_K10,10,1605.4,26.76
CTM,LIGHT_EMBfinal3_K10,10,1499.8,25.0
CTM,HEAVY_EMBfinal3_K10,10,1429.53,23.83
CTM,LIGHT_EMBfinal2_K20,20,1431.1,23.85
CTM,HEAVY_EMBfinal2_K20,20,1426.04,23.77
CTM,LIGHT_EMBfinal3_K20,20,1505.69,25.09
CTM,HEAVY_EMBfinal3_K20,20,1547.94,25.8
CTM,LIGHT_EMBfinal2_K30,30,1582.98,26.38
CTM,HEAVY_EMBfinal2_K30,30,1448.56,24.14
CTM,LIGHT_EMBfinal3_K30,30,1437.83,23.96
CTM,HEAVY_EMBfinal3_K30,30,1437.1,23.95
CTM,LIGHT_EMBfinal2_K40,40,1431.72,23.86
CTM,HEAVY_EMBfinal2_K40,40,1433.91,23.9
CTM,LIGHT_EMBfinal3_K40,40,1444.47,24.07
CTM,HEAVY_EMBfinal3_K40,40,1510.82,25.18
CTM,LIGHT_EMBfinal2_K50,50,1565.35,26.09
CTM,HEAVY_EMBfinal2_K50,50,1476.89,24.61
CTM,LIGHT_EMBfinal3_K50,50,1503.69,25.06
CTM,HEAVY_EMBfinal3_K50,50,1500.36,25.01
CTM,LIGHT_EMBfinal2_K60,60,1457.67,24.29
CTM,HEAVY_EMBfinal2_K60,60,1492.03,24.87
CTM,LIGHT_EMBfinal3_K60,60,1455.55,24.26
CTM,HEAVY_EMBfinal3_K60,60,1446.11,24.1

BERTopic,LIGHT_EMBfinal_reassignment_fullK10,10,214.17,3.57
BERTopic,HEAVY_EMBfinal_reassignment_fullK10,10,153.89,2.56
BERTopic,LIGHT_EMBfinal_reassignment_fullK20,20,207.61,3.46
BERTopic,HEAVY_EMBfinal_reassignment_fullK20,20,157.5,2.62
BERTopic,LIGHT_EMBfinal_reassignment_fullK30,30,210.19,3.5
BERTopic,HEAVY_EMBfinal_reassignment_fullK30,30,157.98,2.63
BERTopic,LIGHT_EMBfinal_reassignment_fullK40,40,207.03,3.45
BERTopic,HEAVY_EMBfinal_reassignment_fullK40,40,160.72,2.68
BERTopic,LIGHT_EMBfinal_reassignment_fullK50,50,211.58,3.53
BERTopic,HEAVY_EMBfinal_reassignment_fullK50,50,169.14,2.82
BERTopic,LIGHT_EMBfinal_reassignment_fullK60,60,211.62,3.53
BERTopic,HEAVY_EMBfinal_reassignment_fullK60,60,172.3,2.87
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK10,10,299.77,5.0
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK10,10,231.89,3.86
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK20,20,241.85,4.03
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK20,20,163.62,2.73
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK30,30,206.3,3.44
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK30,30,170.1,2.83
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK40,40,286.46,4.77
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK40,40,188.67,3.14
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK50,50,212.31,3.54
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK50,50,167.64,2.79
BERTopic,LIGHT_EMBfinal2_noiseparams_fullK60,60,203.47,3.39
BERTopic,HEAVY_EMBfinal2_noiseparams_fullK60,60,205.12,3.42
BERTopic,LIGHT_EMBfinal2_fullK10,10,185.68,3.09
BERTopic,HEAVY_EMBfinal2_fullK10,10,141.03,2.35
BERTopic,LIGHT_EMBfinal2_fullK20,20,173.58,2.89
BERTopic,HEAVY_EMBfinal2_fullK20,20,141.26,2.35
BERTopic,LIGHT_EMBfinal2_fullK30,30,175.26,2.92
BERTopic,HEAVY_EMBfinal2_fullK30,30,140.05,2.33
BERTopic,LIGHT_EMBfinal2_fullK40,40,175.62,2.93
BERTopic,HEAVY_EMBfinal2_fullK40,40,144.16,2.4
BERTopic,LIGHT_EMBfinal2_fullK50,50,188.49,3.14
BERTopic,HEAVY_EMBfinal2_fullK50,50,140.43,2.34
BERTopic,LIGHT_EMBfinal2_fullK60,60,183.41,3.06
BERTopic,HEAVY_EMBfinal2_fullK60,60,142.09,2.37
CTM,LIGHT_EMBfinal_K10,10,1513.49,25.22
CTM,HEAVY_EMBfinal_K10,10,1505.03,25.08
CTM,LIGHT_EMBfinal_K20,20,1503.52,25.06
CTM,HEAVY_EMBfinal_K20,20,1518.04,25.3
CTM,LIGHT_EMBfinal_K30,30,1520.47,25.34
CTM,HEAVY_EMBfinal_K30,30,1524.57,25.41
CTM,LIGHT_EMBfinal_K40,40,1516.4,25.27
CTM,HEAVY_EMBfinal_K40,40,1520.43,25.34
CTM,LIGHT_EMBfinal_K50,50,1517.75,25.3
CTM,HEAVY_EMBfinal_K50,50,1530.86,25.51
CTM,LIGHT_EMBfinal_K60,60,1538.0,25.63
CTM,HEAVY_EMBfinal_K60,60,1530.65,25.51
ETM,HEAVY_final_VOCAB2000_K10,10,399.83,6.66
ETM,HEAVY_final_VOCAB2000_K20,20,405.84,6.76
ETM,HEAVY_final_VOCAB2000_K30,30,418.31,6.97
ETM,HEAVY_final_VOCAB2000_K40,40,431.13,7.19
ETM,HEAVY_final_VOCAB2000_K50,50,424.8,7.08
ETM,HEAVY_final_VOCAB2000_K60,60,420.46,7.01
ETM,HEAVY_final_VOCAB6000_K10,10,738.54,12.31
ETM,HEAVY_final_VOCAB6000_K20,20,560.34,9.34
ETM,HEAVY_final_VOCAB6000_K30,30,592.96,9.88
ETM,HEAVY_final_VOCAB6000_K40,40,581.3,9.69
ETM,HEAVY_final_VOCAB6000_K50,50,755.61,12.59
ETM,HEAVY_final_VOCAB6000_K60,60,750.3,12.51
LDA,HEAVY_final_VOCAB2000_K10,10,230.53,3.84
LDA,HEAVY_final_VOCAB2000_K20,20,229.85,3.83
LDA,HEAVY_final_VOCAB2000_K30,30,243.36,4.06
LDA,HEAVY_final_VOCAB2000_K40,40,444.95,7.42
LDA,HEAVY_final_VOCAB2000_K50,50,292.8,4.88
LDA,HEAVY_final_VOCAB2000_K60,60,293.56,4.89
