Model,Model_Label,K,Coherence,Diversity,Runtime_seconds,Valid_Topics,Topic_File
BERTopic,"BERTopic
D2, K=30",30,0.1872850531934426,0.9071428571428573,1050.43,28,bertopic_topics_Best2_2M_K30_fit150k_transform_all.json
CTM,"CTM
D1, K=20",20,0.1312724885851182,1.0,2427.6,20,ctm_topics_CTM_LIGHT_2M_K20_fit150k_transform_all.json
LDA,"LDA
V2000, K=30",30,0.0998873901959575,0.9133333333333332,2614.28,30,lda_topics_LDA_2M_VOCAB2000_K30_fullcorpus.json
