doc_id,topic_id,topic_label
A0068444_00567.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00050.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00090.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00131.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00060.xml,6,sahl_obligation_sal_poster_åhrs
A0068444_00673.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00247.xml,6,sahl_obligation_sal_poster_åhrs
A0068444_00017.xml,6,sahl_obligation_sal_poster_åhrs
A0068444_00405.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00069.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00682.xml,7,wijd_måhl_häradzhöfdingen_resolution_tijd
A0068444_00112.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00263.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00220.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00575.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00208.xml,11,män_huadh_huilket_bete_aldrigh
A0068444_00133.xml,11,män_huadh_huilket_bete_aldrigh
A0068444_00585.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00488.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00645.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00772.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00726.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00524.xml,11,män_huadh_huilket_bete_aldrigh
A0068444_00773.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00624.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00712.xml,11,män_huadh_huilket_bete_aldrigh
A0068444_00190.xml,6,sahl_obligation_sal_poster_åhrs
A0068444_00677.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00656.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00519.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00678.xml,7,wijd_måhl_häradzhöfdingen_resolution_tijd
A0068444_00683.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00560.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00082.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00136.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00356.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00036.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00154.xml,6,sahl_obligation_sal_poster_åhrs
A0068444_00743.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00747.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00384.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00224.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00383.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00333.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00607.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00681.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00152.xml,11,män_huadh_huilket_bete_aldrigh
A0068444_00132.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00268.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00029.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00105.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00627.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00785.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00317.xml,11,män_huadh_huilket_bete_aldrigh
A0068444_00686.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00312.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00066.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00491.xml,11,män_huadh_huilket_bete_aldrigh
A0068444_00339.xml,11,män_huadh_huilket_bete_aldrigh
A0068444_00292.xml,17,holmberg_ägaren_ras_dela_casseuren
A0068444_00717.xml,7,wijd_måhl_häradzhöfdingen_resolution_tijd
A0068444_00323.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
A0068444_00016.xml,2,anslagen_herre_sweriges_nådigst_underdånigst
