doc_id,topic_id,topic_label
A0068718_01090.xml,-1,noise
A0068718_01225.xml,-1,noise
A0068718_00080.xml,-1,noise
A0068718_01003.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_00317.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00319.xml,-1,noise
A0068718_00949.xml,-1,noise
A0068718_00138.xml,-1,noise
A0068718_00432.xml,-1,noise
A0068718_00428.xml,-1,noise
A0068718_00998.xml,-1,noise
A0068718_01272.xml,-1,noise
A0068718_00943.xml,-1,noise
A0068718_00916.xml,-1,noise
A0068718_01306.xml,-1,noise
A0068718_01022.xml,-1,noise
A0068718_00470.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_01285.xml,-1,noise
A0068718_00492.xml,-1,noise
A0068718_00754.xml,-1,noise
A0068718_00155.xml,-1,noise
A0068718_01109.xml,-1,noise
A0068718_00048.xml,-1,noise
A0068718_00409.xml,-1,noise
A0068718_01322.xml,-1,noise
A0068718_00883.xml,-1,noise
A0068718_01103.xml,-1,noise
A0068718_01034.xml,-1,noise
A0068718_00731.xml,-1,noise
A0068718_00082.xml,-1,noise
A0068718_01289.xml,-1,noise
A0068718_00391.xml,-1,noise
A0068718_00436.xml,-1,noise
A0068718_01278.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_01350.xml,-1,noise
A0068718_00817.xml,-1,noise
A0068718_00542.xml,-1,noise
A0068718_00818.xml,-1,noise
A0068718_01074.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_01342.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00701.xml,-1,noise
A0068718_01070.xml,7,skrift_may_julij_cum_augusti
A0068718_00453.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_00758.xml,-1,noise
A0068718_00308.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00544.xml,-1,noise
A0068718_01337.xml,-1,noise
A0068718_00134.xml,-1,noise
A0068718_00083.xml,-1,noise
A0068718_01000.xml,-1,noise
A0068718_00747.xml,-1,noise
A0068718_00554.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00651.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00670.xml,-1,noise
A0068718_00923.xml,-1,noise
A0068718_01123.xml,-1,noise
A0068718_00174.xml,-1,noise
A0068718_01217.xml,-1,noise
A0068718_00498.xml,-1,noise
A0068718_00783.xml,-1,noise
A0068718_00551.xml,-1,noise
A0068718_01359.xml,-1,noise
A0068718_01346.xml,-1,noise
A0068718_00832.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00104.xml,-1,noise
A0068718_00624.xml,-1,noise
A0068718_01286.xml,9,häktad_häktade_häktades_brotts_com
A0068718_00363.xml,-1,noise
A0068718_00146.xml,-1,noise
A0068718_01246.xml,-1,noise
A0068718_01073.xml,-1,noise
A0068718_00236.xml,-1,noise
A0068718_01243.xml,-1,noise
A0068718_00789.xml,-1,noise
A0068718_01324.xml,-1,noise
A0068718_00870.xml,-1,noise
A0068718_00672.xml,-1,noise
A0068718_00920.xml,-1,noise
A0068718_00301.xml,-1,noise
A0068718_00467.xml,-1,noise
A0068718_00206.xml,-1,noise
A0068718_00170.xml,-1,noise
A0068718_00614.xml,-1,noise
A0068718_01147.xml,-1,noise
A0068718_00350.xml,-1,noise
A0068718_00841.xml,-1,noise
A0068718_00787.xml,-1,noise
A0068718_00045.xml,-1,noise
A0068718_00125.xml,-1,noise
A0068718_00600.xml,-1,noise
A0068718_00009.xml,12,aktiebolag_enka_gust_aktiebolaget_konkurs
A0068718_00128.xml,-1,noise
A0068718_00591.xml,-1,noise
A0068718_01062.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_01338.xml,-1,noise
A0068718_00361.xml,-1,noise
A0068718_00573.xml,-1,noise
A0068718_01320.xml,-1,noise
A0068718_00449.xml,-1,noise
A0068718_00200.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00053.xml,-1,noise
A0068718_01063.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00024.xml,-1,noise
A0068718_01004.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00564.xml,-1,noise
A0068718_00303.xml,-1,noise
A0068718_00156.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00629.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00952.xml,-1,noise
A0068718_00678.xml,-1,noise
A0068718_00280.xml,-1,noise
A0068718_00785.xml,-1,noise
A0068718_00707.xml,-1,noise
A0068718_00627.xml,-1,noise
A0068718_00978.xml,-1,noise
A0068718_01291.xml,-1,noise
A0068718_00415.xml,-1,noise
A0068718_00938.xml,-1,noise
A0068718_01228.xml,-1,noise
A0068718_00398.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_00265.xml,-1,noise
A0068718_00872.xml,9,häktad_häktade_häktades_brotts_com
A0068718_01340.xml,-1,noise
A0068718_00526.xml,-1,noise
A0068718_00569.xml,-1,noise
A0068718_01327.xml,-1,noise
A0068718_00881.xml,-1,noise
A0068718_00973.xml,-1,noise
A0068718_01290.xml,-1,noise
A0068718_01335.xml,-1,noise
A0068718_00667.xml,-1,noise
A0068718_00839.xml,-1,noise
A0068718_00444.xml,-1,noise
A0068718_01319.xml,-1,noise
A0068718_01355.xml,-1,noise
A0068718_01095.xml,-1,noise
A0068718_00960.xml,9,häktad_häktade_häktades_brotts_com
A0068718_00407.xml,-1,noise
A0068718_00010.xml,2,sahl_will_hustru_dhem_män
A0068718_00649.xml,-1,noise
A0068718_00502.xml,-1,noise
A0068718_01038.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_00723.xml,-1,noise
A0068718_00115.xml,-1,noise
A0068718_00075.xml,9,häktad_häktade_häktades_brotts_com
A0068718_00061.xml,-1,noise
A0068718_01317.xml,-1,noise
A0068718_01365.xml,-1,noise
A0068718_00403.xml,-1,noise
A0068718_00049.xml,-1,noise
A0068718_00983.xml,-1,noise
A0068718_01037.xml,-1,noise
A0068718_00404.xml,-1,noise
A0068718_00371.xml,-1,noise
A0068718_00522.xml,-1,noise
A0068718_01156.xml,-1,noise
A0068718_00336.xml,-1,noise
A0068718_00656.xml,-1,noise
A0068718_00143.xml,-1,noise
A0068718_00618.xml,-1,noise
A0068718_00682.xml,-1,noise
A0068718_00867.xml,-1,noise
A0068718_01220.xml,-1,noise
A0068718_01080.xml,-1,noise
A0068718_00142.xml,-1,noise
A0068718_01148.xml,-1,noise
A0068718_00982.xml,-1,noise
A0068718_00340.xml,-1,noise
A0068718_00030.xml,-1,noise
A0068718_01051.xml,-1,noise
A0068718_01172.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_01255.xml,-1,noise
A0068718_00186.xml,-1,noise
A0068718_00384.xml,-1,noise
A0068718_00189.xml,-1,noise
A0068718_00375.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00592.xml,0,ting_bergs_hustru_skuld_års
A0068718_00443.xml,-1,noise
A0068718_01044.xml,-1,noise
A0068718_00898.xml,9,häktad_häktade_häktades_brotts_com
A0068718_01104.xml,-1,noise
A0068718_01316.xml,-1,noise
A0068718_01139.xml,-1,noise
A0068718_01021.xml,-1,noise
A0068718_00970.xml,-1,noise
A0068718_01252.xml,-1,noise
A0068718_00779.xml,-1,noise
A0068718_00510.xml,-1,noise
A0068718_00451.xml,-1,noise
A0068718_00192.xml,1,fru_saken_hofrätten_ståndet_probsten
A0068718_00299.xml,-1,noise
A0068718_01161.xml,10,riddaren_hofrätts_fru_referent_fredric
A0068718_01212.xml,-1,noise
